,name,latitude,longitude,price,hostStart,propType
236,Ka'anapali's ~ International Colony Club 19,20.93279,-156.68825,295.00,2011-09-06,House
237,Ka'anapali's ~ International Colony Club 15,20.93473,-156.68995,325.00,2011-09-06,Bungalow
238,Oceanfront Villa at Lani Paradise,20.92172,-156.37333999999998,899.00,2012-03-09,Villa
239,Treehouse Ohana,19.6199,-155.95951000000002,134.00,2012-03-12,Guest suite
240,Near the World Famous Hanauma Bay,21.27188,-157.70251000000002,80.00,2012-03-15,House
241,Kauai Retreat Center 'Elua Room #2 taxes included,22.18828,-159.36486000000002,128.00,2012-02-20,Bed and breakfast
242,Kauai Retreat Center'Ekolu Room #3 taxes included,22.18836,-159.36558,128.00,2012-02-20,Bed and breakfast
243,Pahoa Leilani : Naturist Beach : Allergy Friendly,19.398020000000002,-154.92519,95.00,2011-07-15,Cottage
244,The Perfect Naturist Hideaway Cabin,19.4422,-154.92279,85.00,2009-02-18,Cottage
245,Kauai Retreat Center 'Eono Room #6,22.18753,-159.36643,144.00,2012-02-20,Bed and breakfast
246,Kauai Retreat Center 'Eha Room #4 taxes included,22.18824,-159.36661999999998,128.00,2012-02-20,Bed and breakfast
247,Sunset beach cozy and relax place !! 30-Day min,21.67975,-158.03364,220.00,2012-03-21,House
248,"""Islander Getaway"" Partial Ocean View",22.05203,-159.32971,109.00,2010-11-05,Boutique hotel
249,Affordable Vacation Home Sweet Home,20.752370000000003,-156.4559,165.00,2008-08-15,House
250,Stroll to Lahaina Town from Gated Estate with Pool,20.86608,-156.67424,950.00,2012-03-27,House
251,Direct Oceanfront Condo Kauai Kailani 310 LOADED!,22.06269,-159.31858,250.00,2012-03-30,Condominium
252,Haiku Guesthouse #BBPH(PHONE NUMBER HIDDEN),20.91241,-156.3227,110.00,2012-03-31,House
253,LOOK!☆CHEAPEST CONDO IN THIS HOTEL☆,21.27936,-157.82315,109.00,2012-04-04,Apartment
254,World Class Vacation Home,19.4436,-154.91482,257.00,2012-04-04,House
255,Coco Unit D Is A Charming Sun-Filled Studio with River Views,22.04693,-159.33694,220.00,2012-04-06,Apartment
256,Gorgeous Private Home~ Ocean Views ~Hot Tub,19.409689999999998,-154.92346,160.00,2011-08-19,House
257,Peaceful Private Rainforest Getaway,19.06961,-155.66705,75.00,2012-04-09,Cabin
258,"Beautiful Guest Cottage in Maui, HI",20.87073,-156.33178999999998,288.00,2012-04-12,Cottage
259,Breeze of Paradise,19.42336,-155.22021999999998,90.00,2012-04-11,House
260,THE LOTUS GARDEN-Attic Room/Downtown Hilo,19.72276,-155.0863,115.00,2012-04-12,Hotel
261,3 Bdrm Oceanview Loft Condo in Maui,20.72504,-156.44782,177.00,2012-04-14,Condominium
262,Spacious Maui (Wailea) oceanview ,20.683510000000002,-156.43493999999998,275.00,2012-04-15,Apartment
263,1B Poolside Condo w/ Beach Access,20.72694,-156.44841,140.00,2012-04-14,Condominium
264,1B Maui Vista Condo w/ Beach Access,20.72586,-156.44593,125.00,2012-04-14,Condominium
265,2nd Fl MauiVista Condo Beach Access,20.72641,-156.44926,140.00,2012-04-14,Condominium
266,"Paia Beach Luxury Home, 10 Steps White Sandy Beach",20.91614,-156.38291,675.00,2012-04-17,House
267,A slice of Aloha in Historic Downtown Kona Hawaii,19.63551,-155.99222,100.00,2012-04-17,Apartment
268,Poipu Bamboo Studio,21.88146,-159.45146,133.00,2010-07-02,Guest suite
269,Poipu Garden Suite,21.88291,-159.45129,125.00,2010-07-02,Guest suite
270,Lotus Residence Partial Ocean View Close to Kehena,19.39915,-154.92751,143.00,2012-04-18,House
271,"North Shore Resort, Private room  ",21.702170000000002,-157.99561,77.00,2012-04-20,Condominium
272,Fabulous 3 Bedrm Poipu Beach CONDO,21.87303,-159.44572,299.00,2011-04-04,Apartment
